,Degree,Lambda,Train ERMS,Validation ERMS,Test ERMS
0,3,0.0,1.9072,5.7013,3.7806
1,5,0.0,0.059,0.7549,0.6699
2,7,0.0,78.4062,372.0032,390.5591
3,9,0.0,299.9633,4692.6119,4989.921
4,3,0.001,1.9072,5.7011,3.7805
5,5,0.001,0.0591,0.6827,0.5839
6,7,0.001,0.0134,9.1765,6.4139
7,9,0.001,0.0068,23.5254,17.1644
8,3,0.1,1.9084,5.684,3.7777
9,5,0.1,0.1123,0.9711,1.007
10,7,0.1,0.0831,5.123,4.0626
11,9,0.1,0.0687,14.3525,13.7012
12,3,1.0,1.9714,5.6626,3.8395
13,5,1.0,0.3137,1.8578,1.7795
14,7,1.0,0.2935,3.1701,2.841
15,9,1.0,0.2477,10.911,10.453
