x,y
-2.0,-407.328913828759
-1.9183673469387754,-341.4829097538972
-1.836734693877551,-272.7745711585188
-1.7551020408163265,-232.63363656533718
-1.6734693877551021,-186.32333761602274
-1.5918367346938775,-121.18970853618636
-1.510204081632653,-105.99298425089576
-1.4285714285714286,-84.04346322105638
-1.3469387755102042,-93.51849580324719
-1.2653061224489797,-48.84276448697573
-1.183673469387755,-29.057657218257155
-1.1020408163265307,-29.861443247735984
-1.0204081632653061,-26.488451004530805
-0.9387755102040818,-14.159555597042994
-0.8571428571428572,-3.696779170402176
-0.7755102040816328,7.832707784011355
-0.6938775510204083,-23.31608271536143
-0.6122448979591837,-1.3521771412040913
-0.5306122448979593,-1.6527704633626927
-0.44897959183673475,9.645666405051053
-0.3673469387755104,4.05357788249698
-0.2857142857142858,7.269585365068109
-0.20408163265306145,11.140400756490854
-0.12244897959183687,-15.960513300865369
-0.04081632653061229,-4.363477407421298
0.04081632653061229,4.143048412494615
0.12244897959183643,14.872245705611228
0.204081632653061,-15.066014637455726
0.2857142857142856,10.94805567103001
0.36734693877551017,2.55154362642444
0.4489795918367343,17.47561404680569
0.5306122448979589,5.724606961707656
0.6122448979591835,6.381878874160483
0.693877551020408,30.681396538637156
0.7755102040816326,-2.4433741518119283
0.8571428571428568,4.290029075126234
0.9387755102040813,14.224653409954788
1.020408163265306,5.161563250960276
1.1020408163265305,0.5914721757825739
1.1836734693877546,-8.515003561885214
1.2653061224489792,-20.05189056698656
1.3469387755102038,-7.974728459913595
1.4285714285714284,1.9884566868410172
1.510204081632653,-15.035564471207884
1.591836734693877,-38.25019423566154
1.6734693877551017,-38.64345546215185
1.7551020408163263,-46.46180716773443
1.8367346938775508,-79.2354716411952
1.9183673469387754,-77.14916306076668
2.0,-117.58215724311839
